timestamp,open,high,low,close,volume
2021-08-11,712.7100,715.1800,704.2100,707.8200,9800558
2021-08-10,713.9900,716.5900,701.8800,709.9900,13432305
2021-08-09,710.1700,719.0300,705.1300,713.7600,14715349
2021-08-06,711.9000,716.3300,697.6300,699.1000,15623049
2021-08-05,716.0000,720.9499,711.4100,714.6300,12919637
2021-08-04,711.0000,724.9000,708.9300,710.9200,17002647
2021-08-03,719.0000,722.6500,701.0100,709.7400,21620253
2021-08-02,700.0000,726.9400,698.4000,709.6700,33615765
2021-07-30,671.7580,697.5300,669.0000,687.2000,29656411
2021-07-29,649.7900,683.6900,648.8000,677.3500,29688446
2021-07-28,646.9950,654.9699,639.4001,646.9800,16006596
2021-07-27,663.4000,666.5000,627.2400,644.7800,32813290
2021-07-26,650.9700,668.1999,647.1100,657.6200,25336556
2021-07-23,646.3600,648.8000,637.3001,643.3800,14604944
2021-07-22,656.4428,662.1700,644.6001,649.2600,15105727
2021-07-21,659.6100,664.8599,650.2901,655.2900,13953338
2021-07-20,651.9900,662.3916,640.5010,660.5000,15487127
2021-07-19,629.8900,647.1999,621.2900,646.2200,21297090
2021-07-16,654.6800,656.6999,642.2000,644.2200,16370970
2021-07-15,658.3900,666.1400,637.8800,650.6000,20209571
2021-07-14,670.7500,678.6099,652.8400,653.3800,21641190
2021-07-13,686.3200,693.2800,666.2958,668.5400,20966092
2021-07-12,662.2000,687.2400,662.1610,685.7000,25927042
2021-07-09,653.1850,658.9100,644.6900,656.9500,18140548
2021-07-08,628.3700,654.4300,620.4600,652.8100,22773316
2021-07-07,664.2700,665.7000,638.3200,644.6500,18791960
2021-07-06,681.7115,684.0000,651.4002,659.5800,23284450
2021-07-02,678.9800,700.0000,673.2600,678.9000,27097374
2021-07-01,683.9200,687.9900,672.8000,677.9200,18634522
2021-06-30,679.7700,692.8100,678.1400,679.7000,18924862
2021-06-29,684.6500,687.5099,675.8900,680.7600,17381313
2021-06-28,671.6400,694.6999,670.3200,688.7200,21628159
2021-06-25,689.5800,693.8100,668.7000,671.8700,32496707
2021-06-24,674.9900,697.6200,667.6100,679.8200,45982386
2021-06-23,632.0000,657.2040,630.0400,656.5700,31099228
2021-06-22,618.2500,628.5693,615.5000,623.7100,19158892
2021-06-21,624.4800,631.3900,608.8800,620.8300,24812741
2021-06-18,613.3700,628.3500,611.8000,623.3100,24560905
2021-06-17,601.8878,621.4700,601.3400,616.6000,22701350
2021-06-16,597.5350,608.5000,593.5000,604.8700,21845739
2021-06-15,616.6900,616.7900,598.2300,599.3600,17764145
2021-06-14,612.2300,625.4900,609.1800,617.6900,20423983
2021-06-11,610.2300,612.5600,601.5200,609.8900,16205303
2021-06-10,603.8800,616.5900,600.5000,610.1200,23919606
2021-06-09,602.1700,611.7900,597.6301,598.7800,16584566
2021-06-08,623.0100,623.0900,595.5000,603.5900,26053405
2021-06-07,591.8250,610.0000,582.8800,605.1300,22543682
2021-06-04,579.7100,600.6100,577.2000,599.0500,24036896
2021-06-03,601.8000,604.5500,571.2200,572.8400,30111893
2021-06-02,620.1300,623.3600,599.1400,605.1200,23302779
2021-06-01,627.8000,633.8000,620.5500,623.9000,18084890
2021-05-28,628.5000,635.5900,622.3800,625.2200,22737038
2021-05-27,620.2400,631.1300,616.2100,630.8500,26370593
2021-05-26,607.5600,626.1700,601.5000,619.1300,28639305
2021-05-25,607.3100,613.9900,595.7100,604.6900,28005933
2021-05-24,581.6000,614.4800,573.6500,606.4400,34558089
2021-05-21,596.1100,596.6800,580.0000,580.8800,26030595
2021-05-20,575.0000,588.8500,571.0700,586.7800,30821119
2021-05-19,552.5500,566.2100,546.9800,563.4600,39578395
2021-05-18,568.0000,596.2500,563.3800,577.8700,36830567
2021-05-17,575.5531,589.7300,561.2000,576.8300,32390360
2021-05-14,583.4100,592.8700,570.4600,589.7400,33370856
2021-05-13,601.5450,606.4599,559.6500,571.6900,44184916
